Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 13:31:50;0.55;0;0;;;;
25.9.2016 13:31:51;0.800472;0;0;;;;
25.9.2016 13:31:51;1.600749;0;0;;;;
25.9.2016 13:31:52;2.401014;0;0;;;;
25.9.2016 13:31:53;3.201272;0;0;;;;
25.9.2016 13:31:54;4.1539;0;0;;;;
25.9.2016 13:31:55;4.801812;0;0;;;;
25.9.2016 13:31:55;5.602055;0;0;;;;
25.9.2016 13:31:56;6.402301;0;0;;;;
25.9.2016 13:31:57;7.202546;0;0;;;;
25.9.2016 13:31:58;8.2794;0.3;0.005;;;;
25.9.2016 13:31:59;8.803066;53.4;0.89;;;;
25.9.2016 13:31:59;9.603458;64.8;1.08;;;;
25.9.2016 13:32:0;10.403848;64.05;1.0675;;;;
25.9.2016 13:32:1;11.204286;63.45;1.0575;;;;
25.9.2016 13:32:2;12.4716;62.7;1.045;;;;
25.9.2016 13:32:3;12.805164;61.2;1.02;;;;
25.9.2016 13:32:3;13.605716;61.35;1.0225;;;;
25.9.2016 13:32:4;14.406104;60.6;1.01;;;;
25.9.2016 13:32:5;15.206370;59.85;0.9975;;;;
25.9.2016 13:32:6;16.6688;59.4;0.99;;;;
25.9.2016 13:32:7;16.806955;58.5;0.975;;;;
25.9.2016 13:32:7;17.607238;58.05;0.9675;;;;
25.9.2016 13:32:8;18.407496;57.3;0.955;;;;
25.9.2016 13:32:9;19.207745;56.55;0.9425;;;;
25.9.2016 13:32:10;20.8000;55.95;0.9325;;;;
25.9.2016 13:32:11;20.808262;55.35;0.9225;;;;
25.9.2016 13:32:11;21.608519;54.6;0.91;;;;
25.9.2016 13:32:12;22.408776;54.15;0.9025;;;;
25.9.2016 13:32:13;23.209038;53.55;0.8925;;;;
25.9.2016 13:32:14;24.9346;52.8;0.88;;;;
25.9.2016 13:32:15;24.809747;52.2;0.87;;;;
25.9.2016 13:32:15;25.610136;51.3;0.855;;;;
25.9.2016 13:32:16;26.410533;51.15;0.8525;;;;
25.9.2016 13:32:17;27.210926;50.4;0.84;;;;
25.9.2016 13:32:18;28.11336;49.65;0.8275;;;;
25.9.2016 13:32:19;28.811737;49.35;0.8225;;;;
25.9.2016 13:32:19;29.612129;48.75;0.8125;;;;
25.9.2016 13:32:20;30.412497;48.15;0.8025;;;;
25.9.2016 13:32:21;31.212910;47.1;0.785;;;;
25.9.2016 13:32:22;32.13313;46.95;0.7825;;;;
25.9.2016 13:32:23;32.813718;46.5;0.775;;;;
25.9.2016 13:32:23;33.614113;45.75;0.7625;;;;
25.9.2016 13:32:24;34.414509;45.3;0.755;;;;
25.9.2016 13:32:25;35.214915;44.85;0.7475;;;;
25.9.2016 13:32:26;36.15323;44.1;0.735;;;;
25.9.2016 13:32:27;36.815731;43.65;0.7275;;;;
25.9.2016 13:32:27;37.616139;43.2;0.72;;;;
25.9.2016 13:32:28;38.416610;42.75;0.7125;;;;
25.9.2016 13:32:29;39.217004;42;0.7;;;;
25.9.2016 13:32:30;40.17453;41.55;0.6925;;;;
25.9.2016 13:32:31;40.817878;40.95;0.6825;;;;
25.9.2016 13:32:31;41.618274;40.65;0.6775;;;;
25.9.2016 13:32:32;42.418680;40.05;0.6675;;;;
25.9.2016 13:32:33;43.219082;39.6;0.66;;;;
25.9.2016 13:32:34;44.19494;39;0.65;;;;
25.9.2016 13:32:35;44.819897;38.7;0.645;;;;
25.9.2016 13:32:35;45.620303;38.1;0.635;;;;
25.9.2016 13:32:36;46.420703;37.65;0.6275;;;;
25.9.2016 13:32:37;47.221103;37.2;0.62;;;;
25.9.2016 13:32:38;48.21513;36.6;0.61;;;;
25.9.2016 13:32:39;48.821905;36.3;0.605;;;;
25.9.2016 13:32:39;49.622296;35.25;0.5875;;;;
25.9.2016 13:32:40;50.422693;35.25;0.5875;;;;
25.9.2016 13:32:41;51.223084;34.65;0.5775;;;;
25.9.2016 13:32:42;52.23484;34.2;0.57;;;;
25.9.2016 13:32:43;52.823925;33.75;0.5625;;;;
25.9.2016 13:32:43;53.624345;33.3;0.555;;;;
25.9.2016 13:32:44;54.424734;32.85;0.5475;;;;
25.9.2016 13:32:45;55.225108;32.4;0.54;;;;
25.9.2016 13:32:46;56.25521;31.95;0.5325;;;;
25.9.2016 13:32:47;56.825899;31.5;0.525;;;;
25.9.2016 13:32:47;57.626301;31.2;0.52;;;;
25.9.2016 13:32:48;58.426752;30.6;0.51;;;;
25.9.2016 13:32:49;59.227173;30.3;0.505;;;;
25.9.2016 13:32:50;60.27545;29.85;0.4975;;;;
25.9.2016 13:32:51;60.827802;29.25;0.4875;;;;
25.9.2016 13:32:51;61.628047;29.1;0.485;;;;
25.9.2016 13:32:52;62.428314;28.5;0.475;;;;
25.9.2016 13:32:53;63.228578;28.05;0.4675;;;;
25.9.2016 13:32:54;64.28867;27.75;0.4625;;;;
25.9.2016 13:32:55;64.829279;27.3;0.455;;;;
25.9.2016 13:32:55;65.629559;27;0.45;;;;
25.9.2016 13:32:56;66.429802;26.55;0.4425;;;;
25.9.2016 13:32:57;67.230057;25.95;0.4325;;;;
25.9.2016 13:32:58;68.30323;25.8;0.43;;;;
25.9.2016 13:32:59;68.830602;25.35;0.4225;;;;
25.9.2016 13:32:59;69.630994;24.9;0.415;;;;
25.9.2016 13:33:0;70.431424;24.45;0.4075;;;;
25.9.2016 13:33:1;71.231816;24;0.4;;;;
25.9.2016 13:33:2;72.32187;23.85;0.3975;;;;
25.9.2016 13:33:3;72.832592;23.25;0.3875;;;;
25.9.2016 13:33:3;73.633005;22.95;0.3825;;;;
25.9.2016 13:33:4;74.433414;22.5;0.375;;;;
25.9.2016 13:33:5;75.233808;22.05;0.3675;;;;
25.9.2016 13:33:6;76.34287;21.75;0.3625;;;;
25.9.2016 13:33:7;76.834715;21.45;0.3575;;;;
25.9.2016 13:33:7;77.635070;21;0.35;;;;
25.9.2016 13:33:8;78.435412;20.55;0.3425;;;;
25.9.2016 13:33:9;79.235766;20.25;0.3375;;;;
25.9.2016 13:33:10;80.36158;19.95;0.3325;;;;
25.9.2016 13:33:11;80.836636;19.5;0.325;;;;
25.9.2016 13:33:11;81.637040;19.05;0.3175;;;;
25.9.2016 13:33:12;82.437454;18.75;0.3125;;;;
25.9.2016 13:33:13;83.237844;18.3;0.305;;;;
25.9.2016 13:33:14;84.38261;18;0.3;;;;
25.9.2016 13:33:15;84.838679;17.55;0.2925;;;;
25.9.2016 13:33:15;85.639060;17.4;0.29;;;;
25.9.2016 13:33:16;86.439468;16.95;0.2825;;;;
25.9.2016 13:33:17;87.239868;16.5;0.275;;;;
25.9.2016 13:33:18;88.40271;16.2;0.27;;;;
25.9.2016 13:33:19;88.840696;15.9;0.265;;;;
25.9.2016 13:33:19;89.641086;15.45;0.2575;;;;
25.9.2016 13:33:20;90.441465;15.15;0.2525;;;;
25.9.2016 13:33:21;91.241851;14.85;0.2475;;;;
25.9.2016 13:33:22;92.42254;14.4;0.24;;;;
25.9.2016 13:33:23;92.842669;13.95;0.2325;;;;
25.9.2016 13:33:23;93.643041;13.65;0.2275;;;;
25.9.2016 13:33:24;94.443454;13.5;0.225;;;;
25.9.2016 13:33:25;95.243860;13.05;0.2175;;;;
25.9.2016 13:33:26;96.44257;12.75;0.2125;;;;
25.9.2016 13:33:27;96.844658;12.45;0.2075;;;;
25.9.2016 13:33:27;97.645067;12;0.2;;;;
25.9.2016 13:33:28;98.445458;34.5;0.575;;;;
25.9.2016 13:33:29;99.245850;71.1;1.185;;;;
25.9.2016 13:33:30;100.46248;70.2;1.17;;;;
25.9.2016 13:33:31;100.846739;69.3;1.155;;;;
25.9.2016 13:33:31;101.647145;68.55;1.1425;;;;
25.9.2016 13:33:32;102.447515;67.65;1.1275;;;;
25.9.2016 13:33:33;103.247883;67.05;1.1175;;;;
25.9.2016 13:33:34;104.48269;66.15;1.1025;;;;
25.9.2016 13:33:35;104.848663;65.7;1.095;;;;
25.9.2016 13:33:35;105.649084;65.1;1.085;;;;
25.9.2016 13:33:36;106.449496;64.2;1.07;;;;
25.9.2016 13:33:37;107.249886;63.6;1.06;;;;
25.9.2016 13:33:38;108.50299;62.85;1.0475;;;;
25.9.2016 13:33:39;108.850696;62.4;1.04;;;;
25.9.2016 13:33:39;109.651102;60.6;1.01;;;;
25.9.2016 13:33:40;110.451507;60.75;1.0125;;;;
25.9.2016 13:33:41;111.251896;60.15;1.0025;;;;
25.9.2016 13:33:42;112.52313;59.4;0.99;;;;
25.9.2016 13:33:43;112.852763;58.5;0.975;;;;
25.9.2016 13:33:43;113.653190;58.05;0.9675;;;;
25.9.2016 13:33:44;114.453587;57.15;0.9525;;;;
25.9.2016 13:33:45;115.253988;56.7;0.945;;;;
25.9.2016 13:33:46;116.54403;56.4;0.94;;;;
25.9.2016 13:33:47;116.854807;55.65;0.9275;;;;
25.9.2016 13:33:47;117.655210;55.05;0.9175;;;;
25.9.2016 13:33:48;118.455626;54.45;0.9075;;;;
25.9.2016 13:33:49;119.256052;53.85;0.8975;;;;
25.9.2016 13:33:50;120.56513;53.1;0.885;;;;
25.9.2016 13:33:51;120.856794;52.65;0.8775;;;;
25.9.2016 13:33:51;121.657068;51.9;0.865;;;;
25.9.2016 13:33:52;122.457337;51.3;0.855;;;;
25.9.2016 13:33:53;123.257600;50.7;0.845;;;;
25.9.2016 13:33:54;124.57887;50.25;0.8375;;;;
25.9.2016 13:33:55;124.858306;49.5;0.825;;;;
25.9.2016 13:33:55;125.658713;49.05;0.8175;;;;
25.9.2016 13:33:56;126.459110;48.45;0.8075;;;;
25.9.2016 13:33:57;127.259461;47.85;0.7975;;;;
25.9.2016 13:33:58;128.59844;47.25;0.7875;;;;
25.9.2016 13:33:59;128.860253;46.8;0.78;;;;
25.9.2016 13:33:59;129.660650;46.2;0.77;;;;
25.9.2016 13:34:0;130.461069;45.6;0.76;;;;
25.9.2016 13:34:1;131.261486;44.7;0.745;;;;
25.9.2016 13:34:2;132.61860;44.55;0.7425;;;;
25.9.2016 13:34:3;132.862271;44.1;0.735;;;;
25.9.2016 13:34:3;133.662665;43.35;0.7225;;;;
25.9.2016 13:34:4;134.463069;43.05;0.7175;;;;
25.9.2016 13:34:5;135.263467;42.3;0.705;;;;
25.9.2016 13:34:6;136.63890;42;0.7;;;;
25.9.2016 13:34:7;136.864314;41.4;0.69;;;;
25.9.2016 13:34:7;137.664712;40.8;0.68;;;;
25.9.2016 13:34:8;138.465099;40.35;0.6725;;;;
25.9.2016 13:34:9;139.265498;39.9;0.665;;;;
25.9.2016 13:34:10;140.65905;39.45;0.6575;;;;
25.9.2016 13:34:11;140.866274;38.7;0.645;;;;
25.9.2016 13:34:11;141.666788;38.4;0.64;;;;
25.9.2016 13:34:12;142.467196;37.8;0.63;;;;
25.9.2016 13:34:13;143.267596;36.9;0.615;;;;
25.9.2016 13:34:14;144.67994;36.9;0.615;;;;
25.9.2016 13:34:15;144.868391;36.45;0.6075;;;;
25.9.2016 13:34:15;145.668787;35.85;0.5975;;;;
25.9.2016 13:34:16;146.469193;34.8;0.58;;;;
25.9.2016 13:34:17;147.269600;34.8;0.58;;;;
25.9.2016 13:34:18;148.70012;34.5;0.575;;;;
