Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 13:28:50;0.52;0;0;;;;
25.9.2016 13:28:51;0.800386;0;0;;;;
25.9.2016 13:28:51;1.600636;0;0;;;;
25.9.2016 13:28:52;2.400905;0;0;;;;
25.9.2016 13:28:53;3.201156;12.75;0.2125;;;;
25.9.2016 13:28:54;4.1429;30.3;0.505;;;;
25.9.2016 13:28:55;4.801818;30.15;0.5025;;;;
25.9.2016 13:28:56;6.447306;60.3;1.005;;;;
25.9.2016 13:28:57;7.247698;28.65;0.4775;;;;
25.9.2016 13:28:58;8.48097;28.35;0.4725;;;;
25.9.2016 13:28:59;8.848589;27.9;0.465;;;;
25.9.2016 13:28:59;9.649008;27.45;0.4575;;;;
25.9.2016 13:29:0;10.449395;27;0.45;;;;
25.9.2016 13:29:7;17.21868;132.45;2.2075;;;;
25.9.2016 13:29:8;17.822247;0.15;0.0025;;;;
25.9.2016 13:29:8;18.622605;0;0;;;;
25.9.2016 13:29:9;19.422954;22.2;0.37;;;;
25.9.2016 13:29:10;20.223340;43.2;0.72;;;;
25.9.2016 13:29:11;21.23728;42.75;0.7125;;;;
25.9.2016 13:29:12;21.824145;42.3;0.705;;;;
25.9.2016 13:29:12;22.624556;41.7;0.695;;;;
25.9.2016 13:29:13;23.424954;41.1;0.685;;;;
25.9.2016 13:29:14;24.225344;40.8;0.68;;;;
25.9.2016 13:29:15;25.25732;40.05;0.6675;;;;
25.9.2016 13:29:16;25.826119;39.75;0.6625;;;;
25.9.2016 13:29:16;26.626514;39.15;0.6525;;;;
25.9.2016 13:29:17;27.426921;38.7;0.645;;;;
