Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 14:5:31;0.54;0;0;;;;
25.9.2016 14:5:31;0.100416;0;0;;;;
25.9.2016 14:5:32;0.200661;0;0;;;;
25.9.2016 14:5:32;0.300856;0;0;;;;
25.9.2016 14:5:32;0.401050;0;0;;;;
25.9.2016 14:5:32;0.501245;0;0;;;;
25.9.2016 14:5:32;0.601437;0;0;;;;
25.9.2016 14:5:32;0.701682;0;0;;;;
25.9.2016 14:5:32;0.801892;0;0;;;;
25.9.2016 14:5:32;0.902110;0;0;;;;
25.9.2016 14:5:32;1.2340;0;0;;;;
25.9.2016 14:5:32;1.102557;0;0;;;;
25.9.2016 14:5:33;1.202786;0;0;;;;
25.9.2016 14:5:33;1.302992;0;0;;;;
25.9.2016 14:5:33;1.403206;0;0;;;;
25.9.2016 14:5:33;1.503414;6;0.1;;;;
25.9.2016 14:5:33;1.603632;27.6;0.46;;;;
25.9.2016 14:5:33;1.703859;60;1;;;;
25.9.2016 14:5:33;1.804074;74.4;1.24;;;;
25.9.2016 14:5:33;1.904306;73.2;1.22;;;;
25.9.2016 14:5:33;2.4542;73.2;1.22;;;;
25.9.2016 14:5:33;2.104920;74.4;1.24;;;;
25.9.2016 14:5:34;2.205271;73.2;1.22;;;;
25.9.2016 14:5:34;2.305614;73.2;1.22;;;;
25.9.2016 14:5:34;2.405983;73.2;1.22;;;;
25.9.2016 14:5:34;2.506318;72;1.2;;;;
25.9.2016 14:5:34;2.606695;73.2;1.22;;;;
25.9.2016 14:5:34;2.707060;73.2;1.22;;;;
25.9.2016 14:5:34;2.807480;73.2;1.22;;;;
25.9.2016 14:5:34;2.907851;72;1.2;;;;
25.9.2016 14:5:34;3.8205;72;1.2;;;;
25.9.2016 14:5:34;3.108632;72;1.2;;;;
25.9.2016 14:5:35;3.209044;69.6;1.16;;;;
25.9.2016 14:5:35;3.309424;70.8;1.18;;;;
25.9.2016 14:5:35;3.409812;72;1.2;;;;
25.9.2016 14:5:35;3.510268;72;1.2;;;;
25.9.2016 14:5:35;3.610675;72;1.2;;;;
25.9.2016 14:5:35;3.711062;72;1.2;;;;
25.9.2016 14:5:35;3.811459;72;1.2;;;;
25.9.2016 14:5:35;3.911828;72;1.2;;;;
25.9.2016 14:5:35;4.12195;70.8;1.18;;;;
25.9.2016 14:5:35;4.112580;72;1.2;;;;
25.9.2016 14:5:36;4.212990;70.8;1.18;;;;
25.9.2016 14:5:36;4.313357;72;1.2;;;;
25.9.2016 14:5:36;4.413736;70.8;1.18;;;;
25.9.2016 14:5:36;4.514112;70.8;1.18;;;;
25.9.2016 14:5:36;4.614477;70.8;1.18;;;;
25.9.2016 14:5:36;4.714877;70.8;1.18;;;;
25.9.2016 14:5:36;4.815275;70.8;1.18;;;;
25.9.2016 14:5:36;4.915772;70.8;1.18;;;;
