Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 14:5:36;5.16132;70.8;1.18;;;;
25.9.2016 14:5:36;5.116545;70.8;1.18;;;;
25.9.2016 14:5:37;5.216958;69.6;1.16;;;;
25.9.2016 14:5:37;5.317332;70.8;1.18;;;;
25.9.2016 14:5:37;5.417772;70.8;1.18;;;;
25.9.2016 14:5:37;5.518180;69.6;1.16;;;;
25.9.2016 14:5:37;5.618546;69.6;1.16;;;;
25.9.2016 14:5:37;5.718952;69.6;1.16;;;;
25.9.2016 14:5:37;5.819352;70.8;1.18;;;;
25.9.2016 14:5:37;5.919727;69.6;1.16;;;;
25.9.2016 14:5:37;6.20109;67.2;1.12;;;;
25.9.2016 14:5:37;6.120503;69.6;1.16;;;;
25.9.2016 14:5:38;6.220859;69.6;1.16;;;;
25.9.2016 14:5:38;6.321220;68.4;1.14;;;;
25.9.2016 14:5:38;6.421599;69.6;1.16;;;;
25.9.2016 14:5:38;6.521931;69.6;1.16;;;;
25.9.2016 14:5:38;6.622316;68.4;1.14;;;;
25.9.2016 14:5:38;6.722681;68.4;1.14;;;;
25.9.2016 14:5:38;6.822998;68.4;1.14;;;;
25.9.2016 14:5:38;6.923409;68.4;1.14;;;;
25.9.2016 14:5:38;7.23763;68.4;1.14;;;;
25.9.2016 14:5:38;7.124101;68.4;1.14;;;;
25.9.2016 14:5:39;7.224520;68.4;1.14;;;;
25.9.2016 14:5:39;7.324900;68.4;1.14;;;;
25.9.2016 14:5:39;7.425310;66;1.1;;;;
25.9.2016 14:5:39;7.525713;67.2;1.12;;;;
25.9.2016 14:5:39;7.626113;67.2;1.12;;;;
25.9.2016 14:5:39;7.726524;67.2;1.12;;;;
25.9.2016 14:5:39;7.826906;68.4;1.14;;;;
25.9.2016 14:5:39;7.927307;68.4;1.14;;;;
25.9.2016 14:5:39;8.27744;67.2;1.12;;;;
25.9.2016 14:5:39;8.128121;67.2;1.12;;;;
25.9.2016 14:5:40;8.228508;68.4;1.14;;;;
25.9.2016 14:5:40;8.328879;67.2;1.12;;;;
25.9.2016 14:5:40;8.429271;67.2;1.12;;;;
25.9.2016 14:5:40;8.529650;67.2;1.12;;;;
25.9.2016 14:5:40;8.630025;67.2;1.12;;;;
25.9.2016 14:5:40;8.730403;67.2;1.12;;;;
25.9.2016 14:5:40;8.830791;67.2;1.12;;;;
25.9.2016 14:5:40;8.931166;66;1.1;;;;
25.9.2016 14:5:40;9.31600;66;1.1;;;;
25.9.2016 14:5:40;9.131959;67.2;1.12;;;;
25.9.2016 14:5:41;9.232336;66;1.1;;;;
25.9.2016 14:5:41;9.332698;66;1.1;;;;
25.9.2016 14:5:41;9.433082;67.2;1.12;;;;
25.9.2016 14:5:41;9.533450;66;1.1;;;;
25.9.2016 14:5:41;9.633831;66;1.1;;;;
25.9.2016 14:5:41;9.734207;66;1.1;;;;
25.9.2016 14:5:41;9.834587;66;1.1;;;;
25.9.2016 14:5:41;9.934995;66;1.1;;;;
25.9.2016 14:5:41;10.35375;66;1.1;;;;
25.9.2016 14:5:41;10.135795;66;1.1;;;;
25.9.2016 14:5:42;10.236216;66;1.1;;;;
25.9.2016 14:5:42;10.336597;64.8;1.08;;;;
25.9.2016 14:5:42;10.437034;66;1.1;;;;
25.9.2016 14:5:42;10.537395;64.8;1.08;;;;
25.9.2016 14:5:42;10.637850;66;1.1;;;;
25.9.2016 14:5:42;10.738226;64.8;1.08;;;;
25.9.2016 14:5:42;10.838641;66;1.1;;;;
25.9.2016 14:5:42;10.938999;64.8;1.08;;;;
25.9.2016 14:5:42;11.39337;64.8;1.08;;;;
25.9.2016 14:5:42;11.139703;64.8;1.08;;;;
25.9.2016 14:5:43;11.240076;64.8;1.08;;;;
25.9.2016 14:5:43;11.340415;64.8;1.08;;;;
25.9.2016 14:5:43;11.440762;64.8;1.08;;;;
25.9.2016 14:5:43;11.541098;63.6;1.06;;;;
25.9.2016 14:5:43;11.641451;64.8;1.08;;;;
25.9.2016 14:5:43;11.741799;64.8;1.08;;;;
25.9.2016 14:5:43;11.842168;63.6;1.06;;;;
25.9.2016 14:5:43;11.942530;64.8;1.08;;;;
25.9.2016 14:5:43;12.42874;60;1;;;;
25.9.2016 14:5:43;12.143268;63.6;1.06;;;;
25.9.2016 14:5:44;12.243625;63.6;1.06;;;;
25.9.2016 14:5:44;12.344018;63.6;1.06;;;;
25.9.2016 14:5:44;12.444342;64.8;1.08;;;;
25.9.2016 14:5:44;12.544657;63.6;1.06;;;;
25.9.2016 14:5:44;12.645024;62.4;1.04;;;;
25.9.2016 14:5:44;12.745399;61.2;1.02;;;;
25.9.2016 14:5:44;12.845783;61.2;1.02;;;;
25.9.2016 14:5:44;12.946190;62.4;1.04;;;;
25.9.2016 14:5:44;13.46558;62.4;1.04;;;;
25.9.2016 14:5:44;13.146936;63.6;1.06;;;;
25.9.2016 14:5:45;13.247330;62.4;1.04;;;;
25.9.2016 14:5:45;13.347763;62.4;1.04;;;;
25.9.2016 14:5:45;13.448179;62.4;1.04;;;;
25.9.2016 14:5:45;13.548541;63.6;1.06;;;;
25.9.2016 14:5:45;13.648908;62.4;1.04;;;;
25.9.2016 14:5:45;13.749283;62.4;1.04;;;;
25.9.2016 14:5:45;13.849647;62.4;1.04;;;;
25.9.2016 14:5:45;13.950020;62.4;1.04;;;;
25.9.2016 14:5:45;14.50405;62.4;1.04;;;;
25.9.2016 14:5:45;14.150772;61.2;1.02;;;;
25.9.2016 14:5:46;14.251139;62.4;1.04;;;;
25.9.2016 14:5:46;14.351530;62.4;1.04;;;;
25.9.2016 14:5:46;14.451901;62.4;1.04;;;;
25.9.2016 14:5:46;14.552299;61.2;1.02;;;;
25.9.2016 14:5:46;14.652661;62.4;1.04;;;;
25.9.2016 14:5:46;14.753032;61.2;1.02;;;;
25.9.2016 14:5:46;14.853389;60;1;;;;
25.9.2016 14:5:46;14.953770;62.4;1.04;;;;
25.9.2016 14:5:46;15.54140;58.8;0.98;;;;
25.9.2016 14:5:46;15.154531;61.2;1.02;;;;
25.9.2016 14:5:47;15.254905;61.2;1.02;;;;
25.9.2016 14:5:47;15.355317;61.2;1.02;;;;
25.9.2016 14:5:47;15.455723;61.2;1.02;;;;
25.9.2016 14:5:47;15.556093;61.2;1.02;;;;
25.9.2016 14:5:47;15.656496;61.2;1.02;;;;
25.9.2016 14:5:47;15.756870;60;1;;;;
25.9.2016 14:5:47;15.857230;61.2;1.02;;;;
25.9.2016 14:5:47;15.957674;60;1;;;;
25.9.2016 14:5:47;16.58031;61.2;1.02;;;;
25.9.2016 14:5:47;16.158394;60;1;;;;
25.9.2016 14:5:48;16.258782;60;1;;;;
25.9.2016 14:5:48;16.359156;61.2;1.02;;;;
25.9.2016 14:5:48;16.459549;60;1;;;;
25.9.2016 14:5:48;16.559923;60;1;;;;
25.9.2016 14:5:48;16.660297;60;1;;;;
25.9.2016 14:5:48;16.760685;60;1;;;;
25.9.2016 14:5:48;16.861041;60;1;;;;
25.9.2016 14:5:48;16.961401;60;1;;;;
25.9.2016 14:5:48;17.61761;60;1;;;;
25.9.2016 14:5:48;17.162113;58.8;0.98;;;;
25.9.2016 14:5:49;17.262490;60;1;;;;
25.9.2016 14:5:49;17.362860;58.8;0.98;;;;
25.9.2016 14:5:49;17.463249;60;1;;;;
25.9.2016 14:5:49;17.563600;58.8;0.98;;;;
25.9.2016 14:5:49;17.663984;60;1;;;;
25.9.2016 14:5:49;17.764359;58.8;0.98;;;;
25.9.2016 14:5:49;17.864829;58.8;0.98;;;;
25.9.2016 14:5:49;17.965078;58.8;0.98;;;;
25.9.2016 14:5:49;18.65317;58.8;0.98;;;;
25.9.2016 14:5:49;18.165533;58.8;0.98;;;;
25.9.2016 14:5:50;18.265749;58.8;0.98;;;;
25.9.2016 14:5:50;18.365955;58.8;0.98;;;;
25.9.2016 14:5:50;18.466178;58.8;0.98;;;;
25.9.2016 14:5:50;18.566418;57.6;0.96;;;;
25.9.2016 14:5:50;18.666670;58.8;0.98;;;;
25.9.2016 14:5:50;18.766907;58.8;0.98;;;;
25.9.2016 14:5:50;18.867148;57.6;0.96;;;;
25.9.2016 14:5:50;18.967394;57.6;0.96;;;;
25.9.2016 14:5:50;19.67664;58.8;0.98;;;;
25.9.2016 14:5:50;19.167962;57.6;0.96;;;;
25.9.2016 14:5:51;19.268240;57.6;0.96;;;;
25.9.2016 14:5:51;19.368492;57.6;0.96;;;;
25.9.2016 14:5:51;19.468764;58.8;0.98;;;;
25.9.2016 14:5:51;19.569008;57.6;0.96;;;;
25.9.2016 14:5:51;19.669243;57.6;0.96;;;;
25.9.2016 14:5:51;19.769492;56.4;0.94;;;;
25.9.2016 14:5:51;19.869734;57.6;0.96;;;;
25.9.2016 14:5:51;19.969975;57.6;0.96;;;;
25.9.2016 14:5:51;20.70221;56.4;0.94;;;;
25.9.2016 14:5:51;20.170459;57.6;0.96;;;;
25.9.2016 14:5:52;20.270705;57.6;0.96;;;;
25.9.2016 14:5:52;20.370953;56.4;0.94;;;;
25.9.2016 14:5:52;20.471344;57.6;0.96;;;;
25.9.2016 14:5:52;20.571587;56.4;0.94;;;;
25.9.2016 14:5:52;20.671851;56.4;0.94;;;;
25.9.2016 14:5:52;20.772108;56.4;0.94;;;;
25.9.2016 14:5:52;20.872354;57.6;0.96;;;;
25.9.2016 14:5:52;20.972620;56.4;0.94;;;;
25.9.2016 14:5:52;21.72888;55.2;0.92;;;;
25.9.2016 14:5:52;21.173147;55.2;0.92;;;;
25.9.2016 14:5:53;21.273410;56.4;0.94;;;;
25.9.2016 14:5:53;21.373629;56.4;0.94;;;;
25.9.2016 14:5:53;21.473859;56.4;0.94;;;;
25.9.2016 14:5:53;21.574086;55.2;0.92;;;;
25.9.2016 14:5:53;21.674306;56.4;0.94;;;;
25.9.2016 14:5:53;21.774554;56.4;0.94;;;;
25.9.2016 14:5:53;21.874799;55.2;0.92;;;;
25.9.2016 14:5:53;21.975057;56.4;0.94;;;;
25.9.2016 14:5:53;22.75440;55.2;0.92;;;;
25.9.2016 14:5:53;22.175805;55.2;0.92;;;;
25.9.2016 14:5:54;22.276176;55.2;0.92;;;;
25.9.2016 14:5:54;22.376566;56.4;0.94;;;;
25.9.2016 14:5:54;22.476958;55.2;0.92;;;;
25.9.2016 14:5:54;22.577356;55.2;0.92;;;;
25.9.2016 14:5:54;22.677779;55.2;0.92;;;;
25.9.2016 14:5:54;22.778148;55.2;0.92;;;;
25.9.2016 14:5:54;22.878511;55.2;0.92;;;;
25.9.2016 14:5:54;22.978883;55.2;0.92;;;;
25.9.2016 14:5:54;23.79247;54;0.9;;;;
25.9.2016 14:5:55;23.179641;55.2;0.92;;;;
25.9.2016 14:5:55;23.280018;55.2;0.92;;;;
25.9.2016 14:5:55;23.380382;54;0.9;;;;
25.9.2016 14:5:55;23.480781;55.2;0.92;;;;
25.9.2016 14:5:55;23.581146;54;0.9;;;;
25.9.2016 14:5:55;23.681546;54;0.9;;;;
25.9.2016 14:5:55;23.781934;55.2;0.92;;;;
25.9.2016 14:5:55;23.882306;54;0.9;;;;
25.9.2016 14:5:55;23.982690;54;0.9;;;;
25.9.2016 14:5:55;24.83064;54;0.9;;;;
25.9.2016 14:5:56;24.183415;51.6;0.86;;;;
25.9.2016 14:5:56;24.283816;54;0.9;;;;
25.9.2016 14:5:56;24.384160;54;0.9;;;;
25.9.2016 14:5:56;24.484506;54;0.9;;;;
25.9.2016 14:5:56;24.584856;54;0.9;;;;
25.9.2016 14:5:56;24.685190;52.8;0.88;;;;
25.9.2016 14:5:56;24.785557;54;0.9;;;;
25.9.2016 14:5:56;24.885924;54;0.9;;;;
25.9.2016 14:5:56;24.986273;52.8;0.88;;;;
25.9.2016 14:5:56;25.86617;54;0.9;;;;
25.9.2016 14:5:57;25.186946;52.8;0.88;;;;
25.9.2016 14:5:57;25.287298;52.8;0.88;;;;
25.9.2016 14:5:57;25.387772;54;0.9;;;;
25.9.2016 14:5:57;25.488174;52.8;0.88;;;;
25.9.2016 14:5:57;25.588494;52.8;0.88;;;;
25.9.2016 14:5:57;25.688834;52.8;0.88;;;;
25.9.2016 14:5:57;25.789218;52.8;0.88;;;;
25.9.2016 14:5:57;25.889616;51.6;0.86;;;;
25.9.2016 14:5:57;25.989987;51.6;0.86;;;;
25.9.2016 14:5:57;26.90349;52.8;0.88;;;;
25.9.2016 14:5:58;26.190715;52.8;0.88;;;;
25.9.2016 14:5:58;26.291088;51.6;0.86;;;;
25.9.2016 14:5:58;26.391460;52.8;0.88;;;;
25.9.2016 14:5:58;26.491887;51.6;0.86;;;;
25.9.2016 14:5:58;26.592249;52.8;0.88;;;;
25.9.2016 14:5:58;26.692617;51.6;0.86;;;;
25.9.2016 14:5:58;26.793021;52.8;0.88;;;;
25.9.2016 14:5:58;26.893396;51.6;0.86;;;;
25.9.2016 14:5:58;26.993802;51.6;0.86;;;;
25.9.2016 14:5:58;27.94183;52.8;0.88;;;;
25.9.2016 14:5:59;27.194553;49.2;0.82;;;;
25.9.2016 14:5:59;27.294926;51.6;0.86;;;;
25.9.2016 14:5:59;27.395294;51.6;0.86;;;;
25.9.2016 14:5:59;27.495668;51.6;0.86;;;;
25.9.2016 14:5:59;27.596071;51.6;0.86;;;;
25.9.2016 14:5:59;27.696439;51.6;0.86;;;;
25.9.2016 14:5:59;27.796814;50.4;0.84;;;;
25.9.2016 14:5:59;27.897216;51.6;0.86;;;;
25.9.2016 14:5:59;27.997685;51.6;0.86;;;;
25.9.2016 14:5:59;28.98071;50.4;0.84;;;;
25.9.2016 14:6:0;28.198441;51.6;0.86;;;;
25.9.2016 14:6:0;28.298807;50.4;0.84;;;;
25.9.2016 14:6:0;28.399200;50.4;0.84;;;;
25.9.2016 14:6:0;28.499601;50.4;0.84;;;;
25.9.2016 14:6:0;28.599952;51.6;0.86;;;;
25.9.2016 14:6:0;28.700331;50.4;0.84;;;;
25.9.2016 14:6:0;28.800705;50.4;0.84;;;;
25.9.2016 14:6:0;28.901076;50.4;0.84;;;;
25.9.2016 14:6:0;29.1471;50.4;0.84;;;;
25.9.2016 14:6:0;29.101839;50.4;0.84;;;;
25.9.2016 14:6:1;29.202246;46.8;0.78;;;;
25.9.2016 14:6:1;29.302634;50.4;0.84;;;;
25.9.2016 14:6:1;29.403004;50.4;0.84;;;;
25.9.2016 14:6:1;29.503379;49.2;0.82;;;;
25.9.2016 14:6:1;29.603739;50.4;0.84;;;;
25.9.2016 14:6:1;29.704107;50.4;0.84;;;;
25.9.2016 14:6:1;29.804467;49.2;0.82;;;;
25.9.2016 14:6:1;29.904836;50.4;0.84;;;;
25.9.2016 14:6:1;30.5220;49.2;0.82;;;;
25.9.2016 14:6:1;30.105618;49.2;0.82;;;;
25.9.2016 14:6:2;30.205987;50.4;0.84;;;;
25.9.2016 14:6:2;30.306392;49.2;0.82;;;;
25.9.2016 14:6:2;30.406752;49.2;0.82;;;;
25.9.2016 14:6:2;30.507194;49.2;0.82;;;;
25.9.2016 14:6:2;30.607642;49.2;0.82;;;;
25.9.2016 14:6:2;30.708048;49.2;0.82;;;;
25.9.2016 14:6:2;30.808431;49.2;0.82;;;;
25.9.2016 14:6:2;30.908808;49.2;0.82;;;;
25.9.2016 14:6:2;31.9216;49.2;0.82;;;;
25.9.2016 14:6:2;31.109560;49.2;0.82;;;;
25.9.2016 14:6:3;31.209880;49.2;0.82;;;;
25.9.2016 14:6:3;31.310255;48;0.8;;;;
25.9.2016 14:6:3;31.410667;49.2;0.82;;;;
25.9.2016 14:6:3;31.511052;48;0.8;;;;
25.9.2016 14:6:3;31.611436;49.2;0.82;;;;
25.9.2016 14:6:3;31.711804;48;0.8;;;;
25.9.2016 14:6:3;31.812187;49.2;0.82;;;;
25.9.2016 14:6:3;31.912544;48;0.8;;;;
25.9.2016 14:6:3;32.12922;48;0.8;;;;
25.9.2016 14:6:3;32.113304;49.2;0.82;;;;
25.9.2016 14:6:4;32.213669;48;0.8;;;;
25.9.2016 14:6:4;32.314054;48;0.8;;;;
25.9.2016 14:6:4;32.414442;48;0.8;;;;
25.9.2016 14:6:4;32.514842;48;0.8;;;;
25.9.2016 14:6:4;32.615203;48;0.8;;;;
25.9.2016 14:6:4;32.715569;46.8;0.78;;;;
25.9.2016 14:6:4;32.815948;48;0.8;;;;
25.9.2016 14:6:4;32.916322;48;0.8;;;;
25.9.2016 14:6:4;33.16704;46.8;0.78;;;;
25.9.2016 14:6:4;33.117101;48;0.8;;;;
25.9.2016 14:6:5;33.217558;45.6;0.76;;;;
25.9.2016 14:6:5;33.317966;46.8;0.78;;;;
25.9.2016 14:6:5;33.418344;48;0.8;;;;
25.9.2016 14:6:5;33.518801;46.8;0.78;;;;
25.9.2016 14:6:5;33.619169;46.8;0.78;;;;
25.9.2016 14:6:5;33.719563;48;0.8;;;;
25.9.2016 14:6:5;33.819945;46.8;0.78;;;;
25.9.2016 14:6:5;33.920328;46.8;0.78;;;;
25.9.2016 14:6:5;34.20753;46.8;0.78;;;;
25.9.2016 14:6:5;34.121126;46.8;0.78;;;;
25.9.2016 14:6:6;34.221503;46.8;0.78;;;;
25.9.2016 14:6:6;34.321931;46.8;0.78;;;;
25.9.2016 14:6:6;34.422307;46.8;0.78;;;;
25.9.2016 14:6:6;34.522748;46.8;0.78;;;;
25.9.2016 14:6:6;34.623142;45.6;0.76;;;;
25.9.2016 14:6:6;34.723534;46.8;0.78;;;;
25.9.2016 14:6:6;34.823912;46.8;0.78;;;;
25.9.2016 14:6:6;34.924280;45.6;0.76;;;;
25.9.2016 14:6:6;35.24673;46.8;0.78;;;;
25.9.2016 14:6:6;35.125058;45.6;0.76;;;;
25.9.2016 14:6:7;35.225430;45.6;0.76;;;;
25.9.2016 14:6:7;35.325819;46.8;0.78;;;;
25.9.2016 14:6:7;35.426218;45.6;0.76;;;;
25.9.2016 14:6:7;35.526597;45.6;0.76;;;;
25.9.2016 14:6:7;35.626990;45.6;0.76;;;;
25.9.2016 14:6:7;35.727386;45.6;0.76;;;;
25.9.2016 14:6:7;35.827823;46.8;0.78;;;;
25.9.2016 14:6:7;35.928196;45.6;0.76;;;;
25.9.2016 14:6:7;36.28590;45.6;0.76;;;;
25.9.2016 14:6:7;36.128964;44.4;0.74;;;;
25.9.2016 14:6:8;36.229365;45.6;0.76;;;;
25.9.2016 14:6:8;36.329715;45.6;0.76;;;;
25.9.2016 14:6:8;36.430098;45.6;0.76;;;;
25.9.2016 14:6:8;36.530478;44.4;0.74;;;;
25.9.2016 14:6:8;36.630817;45.6;0.76;;;;
25.9.2016 14:6:8;36.731179;44.4;0.74;;;;
25.9.2016 14:6:8;36.831547;45.6;0.76;;;;
25.9.2016 14:6:8;36.931918;44.4;0.74;;;;
25.9.2016 14:6:8;37.32307;45.6;0.76;;;;
25.9.2016 14:6:8;37.132674;44.4;0.74;;;;
25.9.2016 14:6:9;37.233040;44.4;0.74;;;;
25.9.2016 14:6:9;37.333432;44.4;0.74;;;;
25.9.2016 14:6:9;37.433819;45.6;0.76;;;;
25.9.2016 14:6:9;37.534210;44.4;0.74;;;;
25.9.2016 14:6:9;37.634594;44.4;0.74;;;;
25.9.2016 14:6:9;37.734967;44.4;0.74;;;;
25.9.2016 14:6:9;37.835378;44.4;0.74;;;;
25.9.2016 14:6:9;37.935751;43.2;0.72;;;;
25.9.2016 14:6:9;38.36150;44.4;0.74;;;;
25.9.2016 14:6:9;38.136520;44.4;0.74;;;;
25.9.2016 14:6:10;38.236894;44.4;0.74;;;;
25.9.2016 14:6:10;38.337274;43.2;0.72;;;;
25.9.2016 14:6:10;38.437736;44.4;0.74;;;;
25.9.2016 14:6:10;38.538138;43.2;0.72;;;;
25.9.2016 14:6:10;38.638519;44.4;0.74;;;;
25.9.2016 14:6:10;38.738884;43.2;0.72;;;;
25.9.2016 14:6:10;38.839306;44.4;0.74;;;;
25.9.2016 14:6:10;38.939696;43.2;0.72;;;;
25.9.2016 14:6:10;39.40080;43.2;0.72;;;;
25.9.2016 14:6:10;39.140452;43.2;0.72;;;;
25.9.2016 14:6:11;39.240842;43.2;0.72;;;;
25.9.2016 14:6:11;39.341248;43.2;0.72;;;;
25.9.2016 14:6:11;39.441628;43.2;0.72;;;;
25.9.2016 14:6:11;39.542008;42;0.7;;;;
25.9.2016 14:6:11;39.642409;43.2;0.72;;;;
25.9.2016 14:6:11;39.742776;43.2;0.72;;;;
25.9.2016 14:6:11;39.843154;43.2;0.72;;;;
25.9.2016 14:6:11;39.943562;43.2;0.72;;;;
25.9.2016 14:6:11;40.43941;43.2;0.72;;;;
25.9.2016 14:6:11;40.144313;42;0.7;;;;
25.9.2016 14:6:12;40.244674;43.2;0.72;;;;
25.9.2016 14:6:12;40.345044;42;0.7;;;;
25.9.2016 14:6:12;40.445438;43.2;0.72;;;;
25.9.2016 14:6:12;40.545830;42;0.7;;;;
25.9.2016 14:6:12;40.646250;43.2;0.72;;;;
25.9.2016 14:6:12;40.746628;42;0.7;;;;
25.9.2016 14:6:12;40.846999;42;0.7;;;;
25.9.2016 14:6:12;40.947378;42;0.7;;;;
25.9.2016 14:6:12;41.47820;42;0.7;;;;
25.9.2016 14:6:12;41.148179;42;0.7;;;;
25.9.2016 14:6:13;41.248551;43.2;0.72;;;;
25.9.2016 14:6:13;41.348914;42;0.7;;;;
25.9.2016 14:6:13;41.449291;40.8;0.68;;;;
25.9.2016 14:6:13;41.549687;42;0.7;;;;
25.9.2016 14:6:13;41.650062;42;0.7;;;;
25.9.2016 14:6:13;41.750424;42;0.7;;;;
25.9.2016 14:6:13;41.850816;42;0.7;;;;
25.9.2016 14:6:13;41.951184;40.8;0.68;;;;
25.9.2016 14:6:13;42.51592;42;0.7;;;;
25.9.2016 14:6:13;42.151951;40.8;0.68;;;;
25.9.2016 14:6:14;42.252285;42;0.7;;;;
25.9.2016 14:6:14;42.352626;40.8;0.68;;;;
25.9.2016 14:6:14;42.452995;42;0.7;;;;
25.9.2016 14:6:14;42.553366;40.8;0.68;;;;
25.9.2016 14:6:14;42.653749;40.8;0.68;;;;
25.9.2016 14:6:14;42.754118;42;0.7;;;;
25.9.2016 14:6:14;42.854474;40.8;0.68;;;;
25.9.2016 14:6:14;42.954860;40.8;0.68;;;;
25.9.2016 14:6:14;43.55254;40.8;0.68;;;;
25.9.2016 14:6:14;43.155613;40.8;0.68;;;;
25.9.2016 14:6:15;43.256069;40.8;0.68;;;;
25.9.2016 14:6:15;43.356446;40.8;0.68;;;;
25.9.2016 14:6:15;43.456817;40.8;0.68;;;;
25.9.2016 14:6:15;43.557212;39.6;0.66;;;;
25.9.2016 14:6:15;43.657694;40.8;0.68;;;;
25.9.2016 14:6:15;43.758139;40.8;0.68;;;;
25.9.2016 14:6:15;43.858507;40.8;0.68;;;;
25.9.2016 14:6:15;43.958888;39.6;0.66;;;;
25.9.2016 14:6:15;44.59302;40.8;0.68;;;;
25.9.2016 14:6:15;44.159676;39.6;0.66;;;;
25.9.2016 14:6:16;44.260098;40.8;0.68;;;;
25.9.2016 14:6:16;44.360475;39.6;0.66;;;;
25.9.2016 14:6:16;44.460846;39.6;0.66;;;;
25.9.2016 14:6:16;44.561240;40.8;0.68;;;;
25.9.2016 14:6:16;44.661606;39.6;0.66;;;;
25.9.2016 14:6:16;44.761986;39.6;0.66;;;;
25.9.2016 14:6:16;44.862373;39.6;0.66;;;;
25.9.2016 14:6:16;44.962750;39.6;0.66;;;;
25.9.2016 14:6:16;45.63135;39.6;0.66;;;;
25.9.2016 14:6:16;45.163518;39.6;0.66;;;;
25.9.2016 14:6:17;45.263899;39.6;0.66;;;;
25.9.2016 14:6:17;45.364302;38.4;0.64;;;;
25.9.2016 14:6:17;45.464671;39.6;0.66;;;;
25.9.2016 14:6:17;45.565044;39.6;0.66;;;;
25.9.2016 14:6:17;45.665411;38.4;0.64;;;;
25.9.2016 14:6:17;45.765787;39.6;0.66;;;;
25.9.2016 14:6:17;45.866154;39.6;0.66;;;;
25.9.2016 14:6:17;45.966548;38.4;0.64;;;;
25.9.2016 14:6:17;46.66936;39.6;0.66;;;;
25.9.2016 14:6:17;46.167302;38.4;0.64;;;;
25.9.2016 14:6:18;46.267786;39.6;0.66;;;;
25.9.2016 14:6:18;46.368201;38.4;0.64;;;;
25.9.2016 14:6:18;46.468597;38.4;0.64;;;;
25.9.2016 14:6:18;46.568996;38.4;0.64;;;;
25.9.2016 14:6:18;46.669390;39.6;0.66;;;;
25.9.2016 14:6:18;46.769780;38.4;0.64;;;;
25.9.2016 14:6:18;46.870156;38.4;0.64;;;;
25.9.2016 14:6:18;46.970537;38.4;0.64;;;;
25.9.2016 14:6:18;47.70929;38.4;0.64;;;;
25.9.2016 14:6:18;47.171335;38.4;0.64;;;;
25.9.2016 14:6:19;47.271719;38.4;0.64;;;;
25.9.2016 14:6:19;47.372113;37.2;0.62;;;;
25.9.2016 14:6:19;47.472543;38.4;0.64;;;;
