Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 14:58:58;0.54;0;0;;;;
25.9.2016 14:58:58;0.100446;0;0;;;;
25.9.2016 14:58:58;0.200723;0;0;;;;
25.9.2016 14:58:58;0.300987;0;0;;;;
25.9.2016 14:58:58;0.401220;0;0;;;;
25.9.2016 14:58:58;0.501431;0;0;;;;
25.9.2016 14:58:58;0.601662;0;0;;;;
25.9.2016 14:58:58;0.701985;0;0;;;;
25.9.2016 14:58:58;0.802319;0;0;;;;
25.9.2016 14:58:59;0.902645;0;0;;;;
25.9.2016 14:58:59;1.2975;0;0;;;;
25.9.2016 14:58:59;1.103297;0;0;;;;
25.9.2016 14:58:59;1.203658;0;0;;;;
25.9.2016 14:58:59;1.303988;0;0;;;;
25.9.2016 14:58:59;1.404316;0;0;;;;
25.9.2016 14:58:59;1.504646;0;0;;;;
25.9.2016 14:58:59;1.604975;0;0;;;;
25.9.2016 14:58:59;1.705312;0;0;;;;
25.9.2016 14:58:59;1.805650;0;0;;;;
25.9.2016 14:59:0;1.905983;0;0;;;;
25.9.2016 14:59:0;2.6314;0;0;;;;
25.9.2016 14:59:0;2.106635;0;0;;;;
25.9.2016 14:59:0;2.206959;0;0;;;;
25.9.2016 14:59:0;2.307294;9.6;0.16;;;;
25.9.2016 14:59:0;2.407633;26.4;0.44;;;;
25.9.2016 14:59:0;2.507983;27.6;0.46;;;;
25.9.2016 14:59:0;2.608322;28.8;0.48;;;;
25.9.2016 14:59:0;2.708675;27.6;0.46;;;;
25.9.2016 14:59:0;2.809031;27.6;0.46;;;;
25.9.2016 14:59:1;2.909402;27.6;0.46;;;;
25.9.2016 14:59:1;3.9788;27.6;0.46;;;;
25.9.2016 14:59:1;3.110122;27.6;0.46;;;;
25.9.2016 14:59:1;3.210454;28.8;0.48;;;;
25.9.2016 14:59:1;3.310863;27.6;0.46;;;;
25.9.2016 14:59:1;3.411193;27.6;0.46;;;;
25.9.2016 14:59:1;3.511520;27.6;0.46;;;;
25.9.2016 14:59:1;3.611805;27.6;0.46;;;;
25.9.2016 14:59:1;3.712134;27.6;0.46;;;;
25.9.2016 14:59:1;3.812460;27.6;0.46;;;;
25.9.2016 14:59:2;3.912775;26.4;0.44;;;;
25.9.2016 14:59:2;4.13097;26.4;0.44;;;;
25.9.2016 14:59:2;4.113425;27.6;0.46;;;;
25.9.2016 14:59:2;4.213749;27.6;0.46;;;;
25.9.2016 14:59:2;4.314070;26.4;0.44;;;;
25.9.2016 14:59:2;4.414390;27.6;0.46;;;;
25.9.2016 14:59:2;4.514714;27.6;0.46;;;;
25.9.2016 14:59:2;4.615034;26.4;0.44;;;;
25.9.2016 14:59:2;4.715363;27.6;0.46;;;;
25.9.2016 14:59:2;4.815686;26.4;0.44;;;;
25.9.2016 14:59:3;4.916010;27.6;0.46;;;;
25.9.2016 14:59:3;5.16342;26.4;0.44;;;;
25.9.2016 14:59:3;5.116671;26.4;0.44;;;;
25.9.2016 14:59:3;5.217001;27.6;0.46;;;;
25.9.2016 14:59:3;5.317330;26.4;0.44;;;;
25.9.2016 14:59:3;5.417676;26.4;0.44;;;;
25.9.2016 14:59:3;5.518034;26.4;0.44;;;;
25.9.2016 14:59:3;5.618369;27.6;0.46;;;;
25.9.2016 14:59:3;5.718680;26.4;0.44;;;;
25.9.2016 14:59:3;5.818968;26.4;0.44;;;;
25.9.2016 14:59:4;5.919286;25.2;0.42;;;;
25.9.2016 14:59:4;6.19533;26.4;0.44;;;;
25.9.2016 14:59:4;6.119752;25.2;0.42;;;;
25.9.2016 14:59:4;6.219974;26.4;0.44;;;;
25.9.2016 14:59:4;6.320209;26.4;0.44;;;;
25.9.2016 14:59:4;6.420438;26.4;0.44;;;;
25.9.2016 14:59:4;6.520678;26.4;0.44;;;;
25.9.2016 14:59:4;6.620904;25.2;0.42;;;;
25.9.2016 14:59:4;6.721120;26.4;0.44;;;;
25.9.2016 14:59:4;6.821341;25.2;0.42;;;;
25.9.2016 14:59:5;6.921556;26.4;0.44;;;;
25.9.2016 14:59:5;7.21776;26.4;0.44;;;;
25.9.2016 14:59:5;7.121981;25.2;0.42;;;;
25.9.2016 14:59:5;7.222199;25.2;0.42;;;;
25.9.2016 14:59:5;7.322405;26.4;0.44;;;;
25.9.2016 14:59:5;7.422622;25.2;0.42;;;;
25.9.2016 14:59:5;7.522835;26.4;0.44;;;;
25.9.2016 14:59:5;7.623052;25.2;0.42;;;;
25.9.2016 14:59:5;7.723267;25.2;0.42;;;;
25.9.2016 14:59:5;7.823484;25.2;0.42;;;;
25.9.2016 14:59:6;7.923695;25.2;0.42;;;;
25.9.2016 14:59:6;8.23912;26.4;0.44;;;;
25.9.2016 14:59:6;8.124116;25.2;0.42;;;;
25.9.2016 14:59:6;8.224329;25.2;0.42;;;;
25.9.2016 14:59:6;8.324562;25.2;0.42;;;;
25.9.2016 14:59:6;8.424800;25.2;0.42;;;;
25.9.2016 14:59:6;8.525042;24;0.4;;;;
25.9.2016 14:59:6;8.625280;25.2;0.42;;;;
25.9.2016 14:59:6;8.725512;25.2;0.42;;;;
25.9.2016 14:59:6;8.825751;25.2;0.42;;;;
25.9.2016 14:59:7;8.925993;25.2;0.42;;;;
25.9.2016 14:59:7;9.26238;24;0.4;;;;
25.9.2016 14:59:7;9.126479;25.2;0.42;;;;
25.9.2016 14:59:7;9.226713;25.2;0.42;;;;
25.9.2016 14:59:7;9.326944;24;0.4;;;;
25.9.2016 14:59:7;9.427171;25.2;0.42;;;;
25.9.2016 14:59:7;9.527396;24;0.4;;;;
25.9.2016 14:59:7;9.627624;25.2;0.42;;;;
25.9.2016 14:59:7;9.727854;24;0.4;;;;
25.9.2016 14:59:7;9.828085;25.2;0.42;;;;
