Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 14:59:8;9.928317;24;0.4;;;;
25.9.2016 14:59:8;10.28546;24;0.4;;;;
25.9.2016 14:59:8;10.128774;24;0.4;;;;
25.9.2016 14:59:8;10.229002;25.2;0.42;;;;
25.9.2016 14:59:8;10.329237;24;0.4;;;;
25.9.2016 14:59:8;10.429518;24;0.4;;;;
25.9.2016 14:59:8;10.529760;24;0.4;;;;
25.9.2016 14:59:8;10.630029;24;0.4;;;;
25.9.2016 14:59:8;10.730407;24;0.4;;;;
25.9.2016 14:59:8;10.830853;24;0.4;;;;
25.9.2016 14:59:9;10.931227;24;0.4;;;;
25.9.2016 14:59:9;11.31602;24;0.4;;;;
25.9.2016 14:59:9;11.131969;24;0.4;;;;
25.9.2016 14:59:9;11.232361;24;0.4;;;;
25.9.2016 14:59:9;11.332759;24;0.4;;;;
25.9.2016 14:59:9;11.433135;22.8;0.38;;;;
25.9.2016 14:59:9;11.533505;24;0.4;;;;
25.9.2016 14:59:9;11.633902;24;0.4;;;;
25.9.2016 14:59:9;11.734275;24;0.4;;;;
25.9.2016 14:59:9;11.834649;22.8;0.38;;;;
25.9.2016 14:59:10;11.935023;24;0.4;;;;
25.9.2016 14:59:10;12.35404;22.8;0.38;;;;
25.9.2016 14:59:10;12.135781;24;0.4;;;;
25.9.2016 14:59:10;12.236176;22.8;0.38;;;;
25.9.2016 14:59:10;12.336550;24;0.4;;;;
25.9.2016 14:59:10;12.436934;22.8;0.38;;;;
25.9.2016 14:59:10;12.537310;22.8;0.38;;;;
25.9.2016 14:59:10;12.637672;22.8;0.38;;;;
25.9.2016 14:59:10;12.738026;22.8;0.38;;;;
25.9.2016 14:59:10;12.838383;22.8;0.38;;;;
25.9.2016 14:59:11;12.938747;24;0.4;;;;
25.9.2016 14:59:11;13.39126;22.8;0.38;;;;
25.9.2016 14:59:11;13.139494;22.8;0.38;;;;
25.9.2016 14:59:11;13.239856;22.8;0.38;;;;
25.9.2016 14:59:11;13.340215;22.8;0.38;;;;
25.9.2016 14:59:11;13.440573;22.8;0.38;;;;
25.9.2016 14:59:11;13.541003;22.8;0.38;;;;
25.9.2016 14:59:11;13.641380;22.8;0.38;;;;
25.9.2016 14:59:11;13.741760;22.8;0.38;;;;
25.9.2016 14:59:11;13.842104;21.6;0.36;;;;
25.9.2016 14:59:12;13.942464;22.8;0.38;;;;
25.9.2016 14:59:12;14.42857;22.8;0.38;;;;
25.9.2016 14:59:12;14.143241;22.8;0.38;;;;
25.9.2016 14:59:12;14.243627;21.6;0.36;;;;
25.9.2016 14:59:12;14.344028;22.8;0.38;;;;
25.9.2016 14:59:12;14.444408;22.8;0.38;;;;
25.9.2016 14:59:12;14.544789;21.6;0.36;;;;
25.9.2016 14:59:12;14.645146;22.8;0.38;;;;
25.9.2016 14:59:12;14.745513;21.6;0.36;;;;
25.9.2016 14:59:12;14.845881;22.8;0.38;;;;
25.9.2016 14:59:13;14.946206;21.6;0.36;;;;
25.9.2016 14:59:13;15.46543;21.6;0.36;;;;
25.9.2016 14:59:13;15.146870;21.6;0.36;;;;
25.9.2016 14:59:13;15.247198;21.6;0.36;;;;
25.9.2016 14:59:13;15.347520;21.6;0.36;;;;
25.9.2016 14:59:13;15.447843;22.8;0.38;;;;
25.9.2016 14:59:13;15.548186;21.6;0.36;;;;
25.9.2016 14:59:13;15.648531;21.6;0.36;;;;
25.9.2016 14:59:13;15.748910;21.6;0.36;;;;
25.9.2016 14:59:13;15.849292;21.6;0.36;;;;
25.9.2016 14:59:14;15.949674;21.6;0.36;;;;
25.9.2016 14:59:14;16.50052;21.6;0.36;;;;
25.9.2016 14:59:14;16.150432;21.6;0.36;;;;
25.9.2016 14:59:14;16.250860;21.6;0.36;;;;
25.9.2016 14:59:14;16.351207;21.6;0.36;;;;
25.9.2016 14:59:14;16.451567;21.6;0.36;;;;
25.9.2016 14:59:14;16.551929;21.6;0.36;;;;
25.9.2016 14:59:14;16.652281;20.4;0.34;;;;
25.9.2016 14:59:14;16.752640;21.6;0.36;;;;
25.9.2016 14:59:14;16.853000;21.6;0.36;;;;
25.9.2016 14:59:15;16.953385;20.4;0.34;;;;
25.9.2016 14:59:15;17.53751;21.6;0.36;;;;
25.9.2016 14:59:15;17.154114;20.4;0.34;;;;
25.9.2016 14:59:15;17.254469;20.4;0.34;;;;
25.9.2016 14:59:15;17.354831;21.6;0.36;;;;
25.9.2016 14:59:15;17.455189;20.4;0.34;;;;
25.9.2016 14:59:15;17.555557;20.4;0.34;;;;
25.9.2016 14:59:15;17.655920;21.6;0.36;;;;
25.9.2016 14:59:15;17.756256;20.4;0.34;;;;
25.9.2016 14:59:15;17.856595;20.4;0.34;;;;
25.9.2016 14:59:16;17.956964;21.6;0.36;;;;
25.9.2016 14:59:16;18.57341;20.4;0.34;;;;
25.9.2016 14:59:16;18.157704;20.4;0.34;;;;
25.9.2016 14:59:16;18.258065;20.4;0.34;;;;
25.9.2016 14:59:16;18.358428;20.4;0.34;;;;
25.9.2016 14:59:16;18.458808;20.4;0.34;;;;
25.9.2016 14:59:16;18.559175;20.4;0.34;;;;
25.9.2016 14:59:16;18.659533;20.4;0.34;;;;
25.9.2016 14:59:16;18.759906;20.4;0.34;;;;
25.9.2016 14:59:16;18.860280;19.2;0.32;;;;
25.9.2016 14:59:17;18.960618;20.4;0.34;;;;
25.9.2016 14:59:17;19.61075;20.4;0.34;;;;
25.9.2016 14:59:17;19.161440;20.4;0.34;;;;
25.9.2016 14:59:17;19.261781;19.2;0.32;;;;
25.9.2016 14:59:17;19.362099;20.4;0.34;;;;
25.9.2016 14:59:17;19.462422;19.2;0.32;;;;
25.9.2016 14:59:17;19.562762;20.4;0.34;;;;
25.9.2016 14:59:17;19.663085;19.2;0.32;;;;
25.9.2016 14:59:17;19.763422;20.4;0.34;;;;
25.9.2016 14:59:18;19.863701;19.2;0.32;;;;
25.9.2016 14:59:18;19.964001;20.4;0.34;;;;
25.9.2016 14:59:18;20.64371;19.2;0.32;;;;
25.9.2016 14:59:18;20.164806;19.2;0.32;;;;
25.9.2016 14:59:18;20.265165;20.4;0.34;;;;
25.9.2016 14:59:18;20.365535;19.2;0.32;;;;
25.9.2016 14:59:18;20.465909;19.2;0.32;;;;
25.9.2016 14:59:18;20.566255;19.2;0.32;;;;
25.9.2016 14:59:18;20.666580;19.2;0.32;;;;
25.9.2016 14:59:18;20.766926;19.2;0.32;;;;
25.9.2016 14:59:19;20.867295;20.4;0.34;;;;
25.9.2016 14:59:19;20.967637;19.2;0.32;;;;
25.9.2016 14:59:19;21.67964;19.2;0.32;;;;
25.9.2016 14:59:19;21.168279;19.2;0.32;;;;
25.9.2016 14:59:19;21.268593;18;0.3;;;;
25.9.2016 14:59:19;21.368910;19.2;0.32;;;;
25.9.2016 14:59:19;21.469220;19.2;0.32;;;;
25.9.2016 14:59:19;21.569553;19.2;0.32;;;;
25.9.2016 14:59:19;21.669887;19.2;0.32;;;;
25.9.2016 14:59:19;21.770230;18;0.3;;;;
25.9.2016 14:59:20;21.870564;18;0.3;;;;
25.9.2016 14:59:20;21.970941;19.2;0.32;;;;
25.9.2016 14:59:20;22.71281;18;0.3;;;;
25.9.2016 14:59:20;22.171661;19.2;0.32;;;;
25.9.2016 14:59:20;22.272012;19.2;0.32;;;;
25.9.2016 14:59:20;22.372378;18;0.3;;;;
25.9.2016 14:59:20;22.472744;19.2;0.32;;;;
25.9.2016 14:59:20;22.573112;18;0.3;;;;
25.9.2016 14:59:20;22.673486;18;0.3;;;;
25.9.2016 14:59:20;22.773853;19.2;0.32;;;;
25.9.2016 14:59:21;22.874214;18;0.3;;;;
25.9.2016 14:59:21;22.974590;18;0.3;;;;
25.9.2016 14:59:21;23.74964;19.2;0.32;;;;
25.9.2016 14:59:21;23.175336;18;0.3;;;;
25.9.2016 14:59:21;23.275722;18;0.3;;;;
25.9.2016 14:59:21;23.376096;18;0.3;;;;
25.9.2016 14:59:21;23.476463;18;0.3;;;;
25.9.2016 14:59:21;23.576836;18;0.3;;;;
25.9.2016 14:59:21;23.677203;18;0.3;;;;
25.9.2016 14:59:21;23.777562;18;0.3;;;;
25.9.2016 14:59:22;23.877936;18;0.3;;;;
25.9.2016 14:59:22;23.978314;18;0.3;;;;
25.9.2016 14:59:22;24.78697;18;0.3;;;;
25.9.2016 14:59:22;24.179064;18;0.3;;;;
25.9.2016 14:59:22;24.279426;18;0.3;;;;
25.9.2016 14:59:22;24.379793;16.8;0.28;;;;
25.9.2016 14:59:22;24.480160;18;0.3;;;;
25.9.2016 14:59:22;24.580534;18;0.3;;;;
25.9.2016 14:59:22;24.680957;18;0.3;;;;
25.9.2016 14:59:22;24.781345;16.8;0.28;;;;
25.9.2016 14:59:23;24.881718;18;0.3;;;;
25.9.2016 14:59:23;24.982095;16.8;0.28;;;;
25.9.2016 14:59:23;25.82467;18;0.3;;;;
25.9.2016 14:59:23;25.182845;16.8;0.28;;;;
25.9.2016 14:59:23;25.283211;18;0.3;;;;
25.9.2016 14:59:23;25.383581;16.8;0.28;;;;
25.9.2016 14:59:23;25.483957;16.8;0.28;;;;
25.9.2016 14:59:23;25.584338;18;0.3;;;;
25.9.2016 14:59:23;25.684707;16.8;0.28;;;;
25.9.2016 14:59:23;25.785068;16.8;0.28;;;;
25.9.2016 14:59:24;25.885402;16.8;0.28;;;;
25.9.2016 14:59:24;25.985754;16.8;0.28;;;;
25.9.2016 14:59:24;26.86128;18;0.3;;;;
25.9.2016 14:59:24;26.186498;16.8;0.28;;;;
25.9.2016 14:59:24;26.286875;16.8;0.28;;;;
25.9.2016 14:59:24;26.387246;16.8;0.28;;;;
25.9.2016 14:59:24;26.487613;16.8;0.28;;;;
25.9.2016 14:59:24;26.587979;16.8;0.28;;;;
25.9.2016 14:59:24;26.688352;15.6;0.26;;;;
25.9.2016 14:59:24;26.788717;16.8;0.28;;;;
25.9.2016 14:59:25;26.889084;16.8;0.28;;;;
25.9.2016 14:59:25;26.989454;16.8;0.28;;;;
25.9.2016 14:59:25;27.89825;16.8;0.28;;;;
25.9.2016 14:59:25;27.190192;15.6;0.26;;;;
25.9.2016 14:59:25;27.290561;16.8;0.28;;;;
25.9.2016 14:59:25;27.391009;16.8;0.28;;;;
25.9.2016 14:59:25;27.491375;15.6;0.26;;;;
25.9.2016 14:59:25;27.591746;16.8;0.28;;;;
25.9.2016 14:59:25;27.692135;15.6;0.26;;;;
25.9.2016 14:59:25;27.792528;15.6;0.26;;;;
25.9.2016 14:59:26;27.892897;16.8;0.28;;;;
25.9.2016 14:59:26;27.993262;15.6;0.26;;;;
25.9.2016 14:59:26;28.93645;15.6;0.26;;;;
25.9.2016 14:59:26;28.194020;16.8;0.28;;;;
25.9.2016 14:59:26;28.294388;15.6;0.26;;;;
25.9.2016 14:59:26;28.394757;15.6;0.26;;;;
25.9.2016 14:59:26;28.495126;16.8;0.28;;;;
25.9.2016 14:59:26;28.595503;15.6;0.26;;;;
25.9.2016 14:59:26;28.695882;15.6;0.26;;;;
25.9.2016 14:59:26;28.796245;15.6;0.26;;;;
25.9.2016 14:59:27;28.896624;15.6;0.26;;;;
25.9.2016 14:59:27;28.996994;16.8;0.28;;;;
25.9.2016 14:59:27;29.97362;15.6;0.26;;;;
25.9.2016 14:59:27;29.197737;15.6;0.26;;;;
25.9.2016 14:59:27;29.298112;15.6;0.26;;;;
25.9.2016 14:59:27;29.398483;15.6;0.26;;;;
25.9.2016 14:59:27;29.498816;14.4;0.24;;;;
25.9.2016 14:59:27;29.599150;15.6;0.26;;;;
25.9.2016 14:59:27;29.699529;15.6;0.26;;;;
25.9.2016 14:59:27;29.799906;15.6;0.26;;;;
25.9.2016 14:59:28;29.900334;15.6;0.26;;;;
25.9.2016 14:59:28;30.780;14.4;0.24;;;;
25.9.2016 14:59:28;30.101141;15.6;0.26;;;;
25.9.2016 14:59:28;30.201486;15.6;0.26;;;;
25.9.2016 14:59:28;30.301813;14.4;0.24;;;;
25.9.2016 14:59:28;30.402137;15.6;0.26;;;;
25.9.2016 14:59:28;30.502470;15.6;0.26;;;;
25.9.2016 14:59:28;30.602805;14.4;0.24;;;;
25.9.2016 14:59:28;30.703139;14.4;0.24;;;;
25.9.2016 14:59:28;30.803479;14.4;0.24;;;;
25.9.2016 14:59:29;30.903800;14.4;0.24;;;;
25.9.2016 14:59:29;31.4140;15.6;0.26;;;;
25.9.2016 14:59:29;31.104508;14.4;0.24;;;;
25.9.2016 14:59:29;31.204835;14.4;0.24;;;;
25.9.2016 14:59:29;31.305157;15.6;0.26;;;;
25.9.2016 14:59:29;31.405484;14.4;0.24;;;;
25.9.2016 14:59:29;31.505802;14.4;0.24;;;;
25.9.2016 14:59:29;31.606137;14.4;0.24;;;;
25.9.2016 14:59:29;31.706466;14.4;0.24;;;;
25.9.2016 14:59:29;31.806760;15.6;0.26;;;;
25.9.2016 14:59:30;31.907031;14.4;0.24;;;;
25.9.2016 14:59:30;32.7317;14.4;0.24;;;;
25.9.2016 14:59:30;32.107636;14.4;0.24;;;;
25.9.2016 14:59:30;32.207971;14.4;0.24;;;;
25.9.2016 14:59:30;32.308297;14.4;0.24;;;;
25.9.2016 14:59:30;32.408599;13.2;0.22;;;;
25.9.2016 14:59:30;32.508930;14.4;0.24;;;;
25.9.2016 14:59:30;32.609259;14.4;0.24;;;;
25.9.2016 14:59:30;32.709589;14.4;0.24;;;;
25.9.2016 14:59:30;32.809921;14.4;0.24;;;;
25.9.2016 14:59:31;32.910276;13.2;0.22;;;;
25.9.2016 14:59:31;33.10718;14.4;0.24;;;;
25.9.2016 14:59:31;33.111068;14.4;0.24;;;;
25.9.2016 14:59:31;33.211436;13.2;0.22;;;;
25.9.2016 14:59:31;33.311757;14.4;0.24;;;;
25.9.2016 14:59:31;33.412065;14.4;0.24;;;;
25.9.2016 14:59:31;33.512393;13.2;0.22;;;;
25.9.2016 14:59:31;33.612716;14.4;0.24;;;;
25.9.2016 14:59:31;33.713034;13.2;0.22;;;;
25.9.2016 14:59:31;33.813373;13.2;0.22;;;;
25.9.2016 14:59:32;33.913693;14.4;0.24;;;;
25.9.2016 14:59:32;34.14012;13.2;0.22;;;;
25.9.2016 14:59:32;34.114324;13.2;0.22;;;;
25.9.2016 14:59:32;34.214646;14.4;0.24;;;;
25.9.2016 14:59:32;34.314962;13.2;0.22;;;;
25.9.2016 14:59:32;34.415283;13.2;0.22;;;;
25.9.2016 14:59:32;34.515617;13.2;0.22;;;;
25.9.2016 14:59:32;34.615951;13.2;0.22;;;;
25.9.2016 14:59:32;34.716280;13.2;0.22;;;;
25.9.2016 14:59:32;34.816598;13.2;0.22;;;;
25.9.2016 14:59:33;34.916930;13.2;0.22;;;;
25.9.2016 14:59:33;35.17309;13.2;0.22;;;;
25.9.2016 14:59:33;35.117676;13.2;0.22;;;;
25.9.2016 14:59:33;35.218050;13.2;0.22;;;;
25.9.2016 14:59:33;35.318430;13.2;0.22;;;;
25.9.2016 14:59:33;35.418796;13.2;0.22;;;;
25.9.2016 14:59:33;35.519160;13.2;0.22;;;;
25.9.2016 14:59:33;35.619528;13.2;0.22;;;;
25.9.2016 14:59:33;35.719894;12;0.2;;;;
25.9.2016 14:59:33;35.820278;13.2;0.22;;;;
25.9.2016 14:59:34;35.920728;13.2;0.22;;;;
25.9.2016 14:59:34;36.21074;12;0.2;;;;
25.9.2016 14:59:34;36.121415;13.2;0.22;;;;
25.9.2016 14:59:34;36.221779;13.2;0.22;;;;
25.9.2016 14:59:34;36.322105;12;0.2;;;;
25.9.2016 14:59:34;36.422429;13.2;0.22;;;;
25.9.2016 14:59:34;36.522756;12;0.2;;;;
25.9.2016 14:59:34;36.623090;13.2;0.22;;;;
25.9.2016 14:59:34;36.723425;12;0.2;;;;
25.9.2016 14:59:34;36.823760;12;0.2;;;;
25.9.2016 14:59:35;36.924081;13.2;0.22;;;;
25.9.2016 14:59:35;37.24412;12;0.2;;;;
25.9.2016 14:59:35;37.124744;12;0.2;;;;
25.9.2016 14:59:35;37.225077;13.2;0.22;;;;
25.9.2016 14:59:35;37.325404;12;0.2;;;;
25.9.2016 14:59:35;37.425728;12;0.2;;;;
25.9.2016 14:59:35;37.526057;12;0.2;;;;
25.9.2016 14:59:35;37.626396;12;0.2;;;;
25.9.2016 14:59:35;37.726724;12;0.2;;;;
25.9.2016 14:59:35;37.827048;12;0.2;;;;
25.9.2016 14:59:36;37.927370;12;0.2;;;;
25.9.2016 14:59:36;38.27696;12;0.2;;;;
25.9.2016 14:59:36;38.128023;12;0.2;;;;
25.9.2016 14:59:36;38.228352;12;0.2;;;;
25.9.2016 14:59:36;38.328677;12;0.2;;;;
25.9.2016 14:59:36;38.428964;12;0.2;;;;
25.9.2016 14:59:36;38.529247;12;0.2;;;;
25.9.2016 14:59:36;38.629557;10.8;0.18;;;;
25.9.2016 14:59:36;38.729889;12;0.2;;;;
25.9.2016 14:59:36;38.830227;12;0.2;;;;
25.9.2016 14:59:37;38.930547;10.8;0.18;;;;
25.9.2016 14:59:37;39.30940;12;0.2;;;;
25.9.2016 14:59:37;39.131275;10.8;0.18;;;;
25.9.2016 14:59:37;39.231617;12;0.2;;;;
25.9.2016 14:59:37;39.331950;10.8;0.18;;;;
25.9.2016 14:59:37;39.432273;12;0.2;;;;
25.9.2016 14:59:37;39.532610;10.8;0.18;;;;
25.9.2016 14:59:37;39.632990;12;0.2;;;;
25.9.2016 14:59:37;39.733436;10.8;0.18;;;;
25.9.2016 14:59:37;39.833837;10.8;0.18;;;;
25.9.2016 14:59:38;39.934210;12;0.2;;;;
25.9.2016 14:59:38;40.34592;10.8;0.18;;;;
25.9.2016 14:59:38;40.134970;10.8;0.18;;;;
25.9.2016 14:59:38;40.235339;10.8;0.18;;;;
25.9.2016 14:59:38;40.335719;10.8;0.18;;;;
25.9.2016 14:59:38;40.436095;12;0.2;;;;
25.9.2016 14:59:38;40.536478;10.8;0.18;;;;
25.9.2016 14:59:38;40.636855;10.8;0.18;;;;
25.9.2016 14:59:38;40.737220;10.8;0.18;;;;
25.9.2016 14:59:38;40.837584;10.8;0.18;;;;
25.9.2016 14:59:39;40.937958;10.8;0.18;;;;
25.9.2016 14:59:39;41.38336;10.8;0.18;;;;
25.9.2016 14:59:39;41.138711;9.6;0.16;;;;
25.9.2016 14:59:39;41.239082;10.8;0.18;;;;
25.9.2016 14:59:39;41.339474;10.8;0.18;;;;
25.9.2016 14:59:39;41.439867;10.8;0.18;;;;
25.9.2016 14:59:39;41.540237;10.8;0.18;;;;
25.9.2016 14:59:39;41.640605;9.6;0.16;;;;
25.9.2016 14:59:39;41.741008;10.8;0.18;;;;
25.9.2016 14:59:39;41.841383;10.8;0.18;;;;
25.9.2016 14:59:40;41.941753;10.8;0.18;;;;
25.9.2016 14:59:40;42.42125;9.6;0.16;;;;
25.9.2016 14:59:40;42.142495;10.8;0.18;;;;
25.9.2016 14:59:40;42.242862;9.6;0.16;;;;
25.9.2016 14:59:40;42.343229;10.8;0.18;;;;
25.9.2016 14:59:40;42.443594;9.6;0.16;;;;
25.9.2016 14:59:40;42.543947;10.8;0.18;;;;
25.9.2016 14:59:40;42.644317;9.6;0.16;;;;
25.9.2016 14:59:40;42.744674;10.8;0.18;;;;
25.9.2016 14:59:40;42.845063;9.6;0.16;;;;
25.9.2016 14:59:41;42.945431;9.6;0.16;;;;
25.9.2016 14:59:41;43.45797;9.6;0.16;;;;
25.9.2016 14:59:41;43.146170;10.8;0.18;;;;
25.9.2016 14:59:41;43.246539;9.6;0.16;;;;
25.9.2016 14:59:41;43.346904;9.6;0.16;;;;
25.9.2016 14:59:41;43.447267;9.6;0.16;;;;
25.9.2016 14:59:41;43.547622;9.6;0.16;;;;
25.9.2016 14:59:41;43.647987;9.6;0.16;;;;
25.9.2016 14:59:41;43.748344;10.8;0.18;;;;
25.9.2016 14:59:41;43.848717;8.4;0.14;;;;
25.9.2016 14:59:42;43.949081;8.4;0.14;;;;
25.9.2016 14:59:42;44.49449;9.6;0.16;;;;
25.9.2016 14:59:42;44.149809;9.6;0.16;;;;
25.9.2016 14:59:42;44.250172;9.6;0.16;;;;
25.9.2016 14:59:42;44.350525;9.6;0.16;;;;
25.9.2016 14:59:42;44.450920;9.6;0.16;;;;
25.9.2016 14:59:42;44.551286;8.4;0.14;;;;
25.9.2016 14:59:42;44.651654;9.6;0.16;;;;
25.9.2016 14:59:42;44.752022;9.6;0.16;;;;
25.9.2016 14:59:42;44.852383;8.4;0.14;;;;
25.9.2016 14:59:43;44.952744;9.6;0.16;;;;
25.9.2016 14:59:43;45.53117;8.4;0.14;;;;
25.9.2016 14:59:43;45.153486;9.6;0.16;;;;
25.9.2016 14:59:43;45.253850;8.4;0.14;;;;
25.9.2016 14:59:43;45.354210;9.6;0.16;;;;
25.9.2016 14:59:43;45.454572;8.4;0.14;;;;
25.9.2016 14:59:43;45.554933;9.6;0.16;;;;
25.9.2016 14:59:43;45.655285;8.4;0.14;;;;
25.9.2016 14:59:43;45.755645;8.4;0.14;;;;
25.9.2016 14:59:43;45.856019;8.4;0.14;;;;
25.9.2016 14:59:44;45.956387;9.6;0.16;;;;
25.9.2016 14:59:44;46.56752;8.4;0.14;;;;
25.9.2016 14:59:44;46.157117;8.4;0.14;;;;
25.9.2016 14:59:44;46.257470;8.4;0.14;;;;
25.9.2016 14:59:44;46.357839;8.4;0.14;;;;
25.9.2016 14:59:45;47.205359;69.6;1.16;;;;
25.9.2016 14:59:45;47.305746;8.4;0.14;;;;
25.9.2016 14:59:45;47.406104;8.4;0.14;;;;
25.9.2016 14:59:45;47.506468;7.2;0.12;;;;
25.9.2016 14:59:45;47.606793;8.4;0.14;;;;
25.9.2016 14:59:45;47.707120;7.2;0.12;;;;
25.9.2016 14:59:45;47.807439;7.2;0.12;;;;
25.9.2016 14:59:46;47.907752;8.4;0.14;;;;
25.9.2016 14:59:46;48.8072;7.2;0.12;;;;
25.9.2016 14:59:46;48.108392;7.2;0.12;;;;
