Datum;Timer;RPM;RPS;I;U;P;R
25.9.2016 14:49:33;0.51;0;0;;;;
25.9.2016 14:49:33;0.100425;0;0;;;;
25.9.2016 14:49:33;0.200674;0;0;;;;
25.9.2016 14:49:33;0.300913;0;0;;;;
25.9.2016 14:49:33;0.401142;0;0;;;;
25.9.2016 14:49:33;0.501363;0;0;;;;
25.9.2016 14:49:33;0.601675;0;0;;;;
25.9.2016 14:49:34;0.702087;0;0;;;;
25.9.2016 14:49:34;0.802435;0;0;;;;
25.9.2016 14:49:34;0.902803;0;0;;;;
25.9.2016 14:49:34;1.3160;0;0;;;;
25.9.2016 14:49:34;1.103476;0;0;;;;
25.9.2016 14:49:34;1.203792;0;0;;;;
25.9.2016 14:49:34;1.304089;0;0;;;;
25.9.2016 14:49:34;1.404386;0;0;;;;
25.9.2016 14:49:34;1.504683;0;0;;;;
25.9.2016 14:49:34;1.605007;0;0;;;;
25.9.2016 14:49:35;1.705310;0;0;;;;
25.9.2016 14:49:35;1.805615;0;0;;;;
25.9.2016 14:49:35;1.905914;0;0;;;;
25.9.2016 14:49:35;2.6222;0;0;;;;
25.9.2016 14:49:35;2.106520;0;0;;;;
25.9.2016 14:49:35;2.206826;0;0;;;;
25.9.2016 14:49:35;2.307132;0;0;;;;
25.9.2016 14:49:35;2.407442;0;0;;;;
25.9.2016 14:49:35;2.507810;0;0;;;;
25.9.2016 14:49:35;2.608133;0;0;;;;
25.9.2016 14:49:36;2.708447;0;0;;;;
25.9.2016 14:49:36;2.808757;0;0;;;;
25.9.2016 14:49:36;2.909066;0;0;;;;
25.9.2016 14:49:36;3.9355;0;0;;;;
25.9.2016 14:49:36;3.109652;0;0;;;;
25.9.2016 14:49:36;3.209965;0;0;;;;
25.9.2016 14:49:36;3.310274;0;0;;;;
25.9.2016 14:49:36;3.410586;0;0;;;;
25.9.2016 14:49:36;3.510897;0;0;;;;
25.9.2016 14:49:36;3.611214;0;0;;;;
25.9.2016 14:49:37;3.711524;0;0;;;;
25.9.2016 14:49:37;3.811845;0;0;;;;
25.9.2016 14:49:37;3.912276;0;0;;;;
25.9.2016 14:49:37;4.12640;0;0;;;;
25.9.2016 14:49:37;4.112953;0;0;;;;
25.9.2016 14:49:37;4.213258;0;0;;;;
25.9.2016 14:49:37;4.313551;0;0;;;;
25.9.2016 14:49:37;4.413849;0;0;;;;
25.9.2016 14:49:37;4.514151;0;0;;;;
25.9.2016 14:49:37;4.614480;0;0;;;;
25.9.2016 14:49:38;4.714785;0;0;;;;
25.9.2016 14:49:38;4.815109;0;0;;;;
25.9.2016 14:49:38;4.915432;0;0;;;;
25.9.2016 14:49:38;5.15742;0;0;;;;
25.9.2016 14:49:38;5.116066;0;0;;;;
25.9.2016 14:49:38;5.216409;0;0;;;;
25.9.2016 14:49:38;5.316683;0;0;;;;
25.9.2016 14:49:38;5.416949;0;0;;;;
25.9.2016 14:49:38;5.517272;0;0;;;;
25.9.2016 14:49:38;5.617595;0;0;;;;
25.9.2016 14:49:39;5.717902;0;0;;;;
25.9.2016 14:49:39;5.818193;0;0;;;;
25.9.2016 14:49:39;5.918510;0;0;;;;
25.9.2016 14:49:39;6.18809;0;0;;;;
25.9.2016 14:49:39;6.119117;0;0;;;;
